"gene.sets";"genes";"Level";"Term"
"GO:0000002";"YALI1_D03766g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_E25267g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_C20198g";"biological_process";"mitochondrial genome maintenance"
"GO:0000007";"YALI1_F28590g";"molecular_function";"low-affinity zinc ion transmembrane transporter activity"
"GO:0000009";"YALI1_E02799g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_E30725g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_F10633g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_B16477g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_F15403g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_F23157g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000009";"YALI1_C05264g";"molecular_function";"alpha-1,6-mannosyltransferase activity"
"GO:0000011";"YALI1_D10600g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F02309g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_E06178g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F26039g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_A04576g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F34397g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_E17037g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F34521g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_E27791g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_E25424g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F02726g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_F00894g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_D09103g";"biological_process";"vacuole inheritance"
"GO:0000011";"YALI1_E11619g";"biological_process";"vacuole inheritance"
"GO:0000012";"YALI1_D09790g";"biological_process";"single strand break repair"
"GO:0000012";"YALI1_E25889g";"biological_process";"single strand break repair"
"GO:0000014";"YALI1_B29051g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000014";"YALI1_E41737g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000014";"YALI1_C32737g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000014";"YALI1_B29080g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000014";"YALI1_D06638g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000014";"YALI1_B19120g";"molecular_function";"single-stranded DNA endodeoxyribonuclease activity"
"GO:0000015";"YALI1_F22436g";"cellular_component";"phosphopyruvate hydratase complex"
"GO:0000019";"YALI1_D34487g";"biological_process";"regulation of mitotic recombination"
"GO:0000019";"YALI1_B15521g";"biological_process";"regulation of mitotic recombination"
"GO:0000022";"YALI1_D24026g";"biological_process";"mitotic spindle elongation"
"GO:0000022";"YALI1_B29539g";"biological_process";"mitotic spindle elongation"
"GO:0000022";"YALI1_E01105g";"biological_process";"mitotic spindle elongation"
"GO:0000022";"YALI1_E31897g";"biological_process";"mitotic spindle elongation"
"GO:0000026";"YALI1_E02413g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_F33246g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_A13649g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_A06229g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_D36161g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_D05270g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_B02637g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000026";"YALI1_C02086g";"molecular_function";"alpha-1,2-mannosyltransferase activity"
"GO:0000027";"YALI1_B19897g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B20521g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B14236g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_E32842g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_C30287g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A03757g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A05254g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B18707g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B11200g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_F13446g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B05832g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_D30459g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_F04643g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A04119g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A12411g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_D16249g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B23420g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B15692g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_F32792g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A06128g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_E26336g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_D17206g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_A10254g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_C29810g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_E12244g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_B14517g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_C30181g";"biological_process";"ribosomal large subunit assembly"
"GO:0000027";"YALI1_F39001g";"biological_process";"ribosomal large subunit assembly"
"GO:0000028";"YALI1_F27175g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_B01839g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_B26808g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_B29507g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_C18892g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_D10865g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_E41367g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_F19249g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_E17171g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_B28744g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_C06597g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_F24408g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_D07379g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_F08635g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_F13373g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_A18557g";"biological_process";"ribosomal small subunit assembly"
"GO:0000028";"YALI1_F11930g";"biological_process";"ribosomal small subunit assembly"
"GO:0000030";"YALI1_E20666g";"molecular_function";"mannosyltransferase activity"
"GO:0000030";"YALI1_D04432g";"molecular_function";"mannosyltransferase activity"
"GO:0000031";"YALI1_B02637g";"molecular_function";"mannosylphosphate transferase activity"
"GO:0000032";"YALI1_F25663g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_E02799g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_E00907g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_C08702g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_B16477g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_E02413g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_B23834g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_B02637g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_F10633g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_C05264g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_A06229g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_E30725g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000032";"YALI1_F33246g";"biological_process";"cell wall mannoprotein biosynthetic process"
"GO:0000033";"YALI1_E37764g";"molecular_function";"alpha-1,3-mannosyltransferase activity"
"GO:0000035";"YALI1_D32594g";"molecular_function";"acyl binding"
"GO:0000035";"YALI1_D18037g";"molecular_function";"acyl binding"
"GO:0000036";"YALI1_D32594g";"molecular_function";"acyl carrier activity"
"GO:0000036";"YALI1_D18037g";"molecular_function";"acyl carrier activity"
"GO:0000038";"YALI1_E19172g";"biological_process";"very long-chain fatty acid metabolic process"
"GO:0000045";"YALI1_E29137g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_C09667g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_F31053g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_E29192g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_D14840g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_D33696g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_C28147g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_E17920g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_B09144g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_A22027g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_F13097g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_E10161g";"biological_process";"autophagosome assembly"
"GO:0000045";"YALI1_B06315g";"biological_process";"autophagosome assembly"
"GO:0000048";"YALI1_C15945g";"molecular_function";"peptidyltransferase activity"
"GO:0000049";"YALI1_D15974g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F27470g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B25593g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_D34043g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F17103g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F03908g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F21769g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F17756g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B02717g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_C25782g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B13886g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B12427g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_D21565g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_C12140g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E36098g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E11630g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E21230g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E04359g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_F32387g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E05576g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E04091g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_E08114g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B16687g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_D20473g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B05571g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_A00309g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B07957g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B19602g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_C15180g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_B19388g";"molecular_function";"tRNA binding"
"GO:0000049";"YALI1_D30570g";"molecular_function";"tRNA binding"
"GO:0000050";"YALI1_E08937g";"biological_process";"urea cycle"
"GO:0000054";"YALI1_A00102g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_E33024g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_A18166g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_F07344g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_B04123g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_C30287g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000054";"YALI1_B16068g";"biological_process";"ribosomal subunit export from nucleus"
"GO:0000055";"YALI1_A12302g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_F15218g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_E03220g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_E37886g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_F13644g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_F35753g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_A18286g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_E31565g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_B13536g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_A02546g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_F11493g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_D16206g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000055";"YALI1_F28453g";"biological_process";"ribosomal large subunit export from nucleus"
"GO:0000056";"YALI1_F13644g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_F09627g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_E13765g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_A02546g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_D29335g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_E28033g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_A18286g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_E10290g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000056";"YALI1_D14125g";"biological_process";"ribosomal small subunit export from nucleus"
"GO:0000062";"YALI1_F31153g";"molecular_function";"fatty-acyl-CoA binding"
"GO:0000062";"YALI1_F07793g";"molecular_function";"fatty-acyl-CoA binding"
"GO:0000064";"YALI1_D08734g";"molecular_function";"L-ornithine transmembrane transporter activity"
"GO:0000064";"YALI1_E20729g";"molecular_function";"L-ornithine transmembrane transporter activity"
"GO:0000064";"YALI1_E33372g";"molecular_function";"L-ornithine transmembrane transporter activity"
"GO:0000070";"YALI1_F19047g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_F09211g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_B06015g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_D31186g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_E14824g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_F03948g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_E23184g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_E04177g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_A18622g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_B17968g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000070";"YALI1_E08900g";"biological_process";"mitotic sister chromatid segregation"
"GO:0000075";"YALI1_C07239g";"biological_process";"cell cycle checkpoint"
"GO:0000076";"YALI1_B08540g";"biological_process";"DNA replication checkpoint"
"GO:0000076";"YALI1_F00976g";"biological_process";"DNA replication checkpoint"
"GO:0000076";"YALI1_E13637g";"biological_process";"DNA replication checkpoint"
"GO:0000076";"YALI1_A07649g";"biological_process";"DNA replication checkpoint"
"GO:0000076";"YALI1_E15211g";"biological_process";"DNA replication checkpoint"
"GO:0000077";"YALI1_E36837g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_F27465g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_B17805g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_D04814g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_B18930g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_E26872g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_B18902g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_B19602g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_A07649g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_B19932g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_F09282g";"biological_process";"DNA damage checkpoint"
"GO:0000077";"YALI1_F34472g";"biological_process";"DNA damage checkpoint"
"GO:0000079";"YALI1_B25187g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_C06548g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_A06666g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_E25132g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_D03488g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_E23749g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_C19636g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_E09539g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_D27100g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_F29483g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000079";"YALI1_C21353g";"biological_process";"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082";"YALI1_F18943g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_A10934g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_B04212g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_E18303g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_B22561g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_B19880g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000082";"YALI1_A01173g";"biological_process";"G1/S transition of mitotic cell cycle"
"GO:0000083";"YALI1_E27104g";"biological_process";"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"GO:0000083";"YALI1_A21913g";"biological_process";"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"GO:0000083";"YALI1_D33418g";"biological_process";"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"GO:0000086";"YALI1_C07979g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000086";"YALI1_E18303g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000086";"YALI1_D12355g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000086";"YALI1_B20009g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000086";"YALI1_B10891g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000086";"YALI1_A10934g";"biological_process";"G2/M transition of mitotic cell cycle"
"GO:0000095";"YALI1_C26544g";"molecular_function";"S-adenosyl-L-methionine transmembrane transporter activity"
"GO:0000097";"YALI1_D14058g";"biological_process";"sulfur amino acid biosynthetic process"
"GO:0000097";"YALI1_B10635g";"biological_process";"sulfur amino acid biosynthetic process"
"GO:0000102";"YALI1_F33189g";"molecular_function";"L-methionine secondary active transmembrane transporter activity"
"GO:0000103";"YALI1_E11619g";"biological_process";"sulfate assimilation"
"GO:0000103";"YALI1_F35109g";"biological_process";"sulfate assimilation"
"GO:0000103";"YALI1_F02309g";"biological_process";"sulfate assimilation"
"GO:0000103";"YALI1_D14058g";"biological_process";"sulfate assimilation"
"GO:0000103";"YALI1_A01602g";"biological_process";"sulfate assimilation"
"GO:0000105";"YALI1_E01793g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_A15879g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_C06626g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_E05963g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_F32363g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_E40305g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_C09467g";"biological_process";"histidine biosynthetic process"
"GO:0000105";"YALI1_F07827g";"biological_process";"histidine biosynthetic process"
"GO:0000107";"YALI1_C09467g";"molecular_function";"imidazoleglycerol-phosphate synthase activity"
"GO:0000109";"YALI1_E25518g";"cellular_component";"nucleotide-excision repair complex"
"GO:0000110";"YALI1_B02472g";"cellular_component";"nucleotide-excision repair factor 1 complex"
"GO:0000110";"YALI1_D34078g";"cellular_component";"nucleotide-excision repair factor 1 complex"
"GO:0000110";"YALI1_B29080g";"cellular_component";"nucleotide-excision repair factor 1 complex"
"GO:0000110";"YALI1_B29051g";"cellular_component";"nucleotide-excision repair factor 1 complex"
"GO:0000111";"YALI1_D11242g";"cellular_component";"nucleotide-excision repair factor 2 complex"
"GO:0000112";"YALI1_D35398g";"cellular_component";"nucleotide-excision repair factor 3 complex"
"GO:0000112";"YALI1_B15521g";"cellular_component";"nucleotide-excision repair factor 3 complex"
"GO:0000112";"YALI1_C05820g";"cellular_component";"nucleotide-excision repair factor 3 complex"
"GO:0000112";"YALI1_F37742g";"cellular_component";"nucleotide-excision repair factor 3 complex"
"GO:0000112";"YALI1_F27663g";"cellular_component";"nucleotide-excision repair factor 3 complex"
"GO:0000113";"YALI1_F02047g";"cellular_component";"nucleotide-excision repair factor 4 complex"
"GO:0000113";"YALI1_A03809g";"cellular_component";"nucleotide-excision repair factor 4 complex"
"GO:0000117";"YALI1_E27104g";"biological_process";"regulation of transcription involved in G2/M transition of mitotic cell cycle"
"GO:0000118";"YALI1_F26142g";"cellular_component";"histone deacetylase complex"
"GO:0000118";"YALI1_E36805g";"cellular_component";"histone deacetylase complex"
"GO:0000120";"YALI1_B29977g";"cellular_component";"RNA polymerase I transcription regulator complex"
"GO:0000121";"YALI1_D36122g";"molecular_function";"glycerol-1-phosphatase activity"
"GO:0000122";"YALI1_C06486g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_A14345g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D19354g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D31083g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_F32989g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D35509g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_B22638g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_E31389g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_E11341g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_B06928g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D33418g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D12543g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_F00894g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D34785g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_E29709g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_C04117g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_D29109g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_C31830g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_B14418g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_B09894g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_F04070g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_C26222g";"biological_process";"negative regulation of transcription by RNA polymerase II"
"GO:0000122";"YALI1_F31255g";"biological_process";"negative regulation of transcription by RNA polymerase II"
