"gene.sets";"genes";"Level";"Term"
"GO:0000001";"YALI1_C07638g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_F20712g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_D17181g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_E13727g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_F34397g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_D27867g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_F21850g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_B26790g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_E05668g";"biological_process";"mitochondrion inheritance"
"GO:0000001";"YALI1_E01657g";"biological_process";"mitochondrion inheritance"
"GO:0000002";"YALI1_D03167g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_A03091g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_F16656g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_D00995g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_D33042g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_E18184g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_B14382g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_E10852g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_D08843g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_E20635g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_A12225g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_B17050g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_D11984g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_F14342g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_E07040g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_F08225g";"biological_process";"mitochondrial genome maintenance"
"GO:0000002";"YALI1_C31281g";"biological_process";"mitochondrial genome maintenance"
