Condition	Ptot	grRate	glucose (1714)	CO2 (1672)	oxygen (1992)	citrate (1687)	pyruvate (2033)	acetate (1634)	ethanol (1761)	glycerol (1808)	succinate (2056)
JFYL07	0.2398	0.1031	-1.6165	3.2064	-10.7473	0.0053	0.0136	0.0000	0.0162	0.0000	0.0003
JFYL18	0.2245	0.1042	-1.2791	2.9288	-15.2298	0.0119	0.0052	0.0000	0.0247	0.0000	0.0000
JFYL14	0.2518	0.1042	-1.1464	2.9326	-6.3479	0.0031	0.0087	0.0000	0.0144	0.0000	0.0115
OKYL029	0.1927	0.1032	-1.2739	2.3574	-5.1555	0.0011	0.0000	0.0000	0.0967	0.0000	0.0000
ST6512	0.1760	0.1021	-1.1070	2.1387	-3.2815	0.0008	0.0000	0.0000	0.0162	0.0000	0.0000
