rxns	palmitoyl-CoA	palmitoleoyl-CoA	stearoyl-CoA	oleoyl-CoA	linoleoyl-CoA	acyl-CoA
xPOOL_AC_EM	m1428	m243	m1430	m231	m1731	m567
xPOOL_AC_EM_REV	m1428	m243	m1430	m231	m1731	m567
xPOOL_AC_LP	m1484	m1486	m1488	m1490	m1735	m570
xPOOL_AC_LP_REV	m1484	m1486	m1488	m1490	m1735	m570
xPOOL_AC_MM	m1741	m1624	m1742	m1625	m1743	m790
xPOOL_AC_MM_REV	m1741	m1624	m1742	m1625	m1743	m790
xPOOL_FA_EM	m1473	m1474	m1475	m1476	m1749	m1658
xPOOL_FA_EM_REV	m1473	m1474	m1475	m1476	m1749	m1658
xPOOL_FA_EN	m1615	m1596	m1616	m1598	m1756	m1661
xPOOL_FA_EN_REV	m1615	m1596	m1616	m1598	m1756	m1661
xPOOL_FA_LP	m1483	m1485	m1487	m1489	m1761	m1641
xPOOL_FA_LP_REV	m1483	m1485	m1487	m1489	m1761	m1641
xPOOL_FA_MI	m1768	m1769	m1770	m1771	m1772	m1698
xPOOL_FA_MI_REV	m1768	m1769	m1770	m1771	m1772	m1698
xPOOL_FA_MM	m1626	m1780	m1627	m1781	m1782	m1655
xPOOL_FA_MM_REV	m1626	m1780	m1627	m1781	m1782	m1655
