1543	(1-3)-beta-D-glucan transport
1096	(R)-mevalonate transport
1097	(R,R)-butanediol transport
3607	1-(sn-glycero-3-phospho)-1D-myo-inositol transport, cell envelope-cytoplasm
2136	14-demethyllanosterol transport
3747g	1-acylglycerophosphocholine transport, ER membrane-lipid particle
3751g	1-acylglycerophosphoethanolamine transport, ER membrane-lipid particle
1560	1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion
1562	1D-myo-inositol 1-phosphate transport
3949g	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cell envelope
3654g	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cytoplasm
3861g	1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-ER membrane
3941g	1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-Golgi membrane
3616g	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-cytoplasm
3919g	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-ER membrane
3632g	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, nucleus-cytoplasm
3624g	1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-cytoplasm
3911g	1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-ER membrane
3562g	1-phosphatidyl-1D-myo-inositol transport, cytoplasm-ER membrane
3869g	1-phosphatidyl-1D-myo-inositol transport, ER membrane-cell envelope
3805g	1-phosphatidyl-1D-myo-inositol transport, ER membrane-Golgi membrane
3929g	1-phosphatidyl-1D-myo-inositol transport, ER membrane-nucleus
3837g	1-phosphatidyl-1D-myo-inositol transport, ER membrane-vacuolar membrane
1567	2-dehydro-3-deoxy-D-arabino-heptonate7-phohsphate transport
1568	2-dehydropantoate transport
1573	2-isopropylmalate transport
1574	2-isopropylmalate transport
1099	2-oxoadipate and 2-oxoglutarate transport
1585	2-oxobutanoate transporter
1587	2-oxoglutarate transport
1588	2-oxoglutarate transport
1595	3-carboxy-4-methyl-2-oxopentanoate transport
1100	3-hexaprenyl-4,5-dihydroxybenzoate transport
1596	3-methyl-2-oxopentanoate transport
1601	3-octaprenyl-4-hydroxybenzoate transport
1605	4-aminobenzoate transport
1606	4-aminobenzoate transport
1607	4-aminobutanal transport
1608	4-aminobutyrate transport
1101	4-aminobutyrate transport
1609	4-hydroxy-2-oxoglutarate transport
1610	4-hydroxy-2-oxoglutarate transport
1611	4-hydroxybenzoate transport
1622	5-aminolevulinate transport
1102	5-aminolevulinate transport
1103	5-formyltetrahydrofolic acid transport
1628	7,8-diaminononanoate transport
1104	8-Amino-7-oxononanoate transport
1632	acetaldehyde transport
1633	acetaldehyde transport
1635	acetate transport
1106	acetate transport
1638	acetylcarnitine transport
1637	acetyl-CoA transport
xPOOL_AC_EM	Acyl-CoAs pool
xPOOL_AC_LP	Acyl-CoAs pool
xPOOL_AC_MM	Acyl-CoAs pool
1640	adenine transport
1108	adenine transport
1642	adenosine 3,5-bisphosphate transport
1109	adenosine transport
1724	ADP deamination
1644	ADP transport
1645	ADP transport
3602	ADP transport, cytoplasm-cell envelope
3667	ADP transport, cytoplasm-Golgi membrane
3652	ADP transport, cytoplasm-vacuolar membrane
1111	ADP/ATP transporter
1110	ADP/ATP transporter
1112	AKG transporter, mitochonrial
1647	AKG transporter, peroxisome
1113	allantoate uniport
1114	allantoin uniport
1652	alpha-ketoglutarate/malate transporter
xPROTEIN	protein pseudoreaction
1115	ammonia transport
1656	AMP transport
3544	AMP transport, cytoplasm-ER membrane
3586	AMP transport, cytoplasm-lipid particle
1116	AMP/ATP transporter
1657	arginine transport
1658	asparagine transport
1117	aspartate transport
1118	aspartate-glutamate transporter
1659	aspartate-glutamate transporter
1722	ATP deamination
1660	ATP diffusion
1661	ATP transport
3601	ATP transport, cytoplasm-cell envelope
3543	ATP transport, cytoplasm-ER membrane
3666	ATP transport, cytoplasm-Golgi membrane
3585	ATP transport, cytoplasm-lipid particle
3651	ATP transport, cytoplasm-vacuolar membrane
1664	bicarbonate formation
1665	bicarbonate formation
1667	bicarbonate formation
1668	bicarbonate formation
1669	bicarbonate transport
biomass_C	biomass_C
1119	biotin uptake
2190	butyrate (n-C4:0) transport
2229	butyrate (n-C4:0) transport, cytoplasm-peroxisome
3665	carbon dioxide transport, cytoplasm-Golgi membrane
3669	carbon dioxide transport, cytoplasm-mitochondrial membrane
3653	carbon dioxide transport, cytoplasm-vacuolar membrane
1120	carnithine-acetylcarnithine carrier
1673	carnitine transport
1674	carnitine-acetylcarnitine carrier
1675	CDP transport
3539	CDP transport, cytoplasm-ER membrane
3542	CDP-choline transport, cytoplasm-ER membrane
3541	CDP-ethanolamine transport, cytoplasm-ER membrane
1676	ceramide transport
1677	ceramide transport
1678	ceramide transport
1679	ceramide transport
1680	ceramide transport
1681	ceramide transport
1121	ceramide-2 (sphinganine:n-C24:0OH) transport
1122	ceramide-2 (sphinganine:n-C26:0OH) transport
1123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport
1124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport
3902	cerotic acid transport, cell envelope-ER membrane
3938	cerotic acid transport, ER membrane-ER
3684	cerotic acid transport, ER membrane-lipid particle
1125	choline transport
1684	choline transport
1126	citrate transport
1127	citrate transport
1128	citrate transport
1686	citrate transport
1688	citrate/isocitrate antiport
1689	citrate/malate antiport
3540	CMP transport, cytoplasm-ER membrane
