"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"aldehyde dehydrogenase (NAD+) activity";3;2;5;"1";1;0;2;2
"2";"aspartic-type endopeptidase activity";10;8;18;"6";0;0;10;8
"3";"dioxygenase activity";3;4;7;"20";0;0;3;4
"4";"DNA-binding transcription activator activity, RNA polymerase II-specific";1;4;5;"5";0;1;1;3
"5";"heme binding";2;8;10;"10";0;0;2;8
"6";"lipid binding";1;9;10;"11";1;0;0;9
"7";"mismatched DNA binding";4;1;5;"25";0;0;4;1
"8";"NAD binding";3;4;7;"2";1;0;2;4
"9";"oxidoreductase activity";43;62;105;"17";0;0;43;62
"10";"RNA-DNA hybrid ribonuclease activity";6;7;13;"18";0;0;6;7
"11";"transferase activity, transferring acyl groups other than amino-acyl groups";1;5;6;"24";0;0;1;5
"12";"All";1420;1657;3077;"";17;11;1403;1646
