"Gene";"JFYL007_116";"JFYL007_3";"OKYL029_116";"OKYL029_3";"OKYL049_116";"OKYL049_3"
"YALI1_F12895g";NA;NA;NA;NA;2;NA
"YALI1_F09088g";NA;NA;NA;NA;2;NA
"YALI1_D25370g";NA;NA;NA;NA;2;NA
"YALI1_D08082g";NA;NA;NA;NA;2;NA
"YALI1_C25747g";NA;NA;NA;NA;2;NA
"YALI1_F33403g";NA;NA;NA;NA;2;NA
"YALI1_E41251g";NA;NA;NA;NA;2;NA
"YALI1_D25104g";NA;NA;NA;NA;2;NA
"YALI1_B08247g";NA;NA;NA;NA;NA;1
"YALI1_F18696g";NA;NA;NA;NA;NA;1
"YALI1_D00406g";NA;NA;NA;NA;NA;1
"YALI1_C29485g";NA;NA;NA;NA;NA;1
"YALI1_E21638g";NA;NA;NA;NA;NA;1
"YALI1_D02488g";NA;NA;NA;NA;NA;1
"YALI1_C21241g";NA;NA;NA;NA;NA;1
"YALI1_D22906g";NA;NA;NA;NA;NA;2
"YALI1_B29360g";NA;NA;NA;NA;NA;2
"YALI1_F16165g";NA;NA;NA;NA;NA;2
"YALI1_D09322g";NA;NA;NA;NA;NA;2
"YALI1_E17754g";NA;NA;NA;NA;NA;2
"YALI1_F38466g";NA;NA;NA;NA;NA;2
"YALI1_A16314g";NA;NA;NA;NA;NA;2
"YALI1_B29080g";NA;NA;NA;NA;NA;2
"YALI1_F35508g";NA;NA;NA;NA;NA;2
"YALI1_A20965g";NA;NA;NA;NA;NA;2
"YALI1_C19775g";NA;NA;NA;NA;NA;2
"YALI1_F15878g";NA;NA;NA;NA;NA;2
"YALI1_E05599g";NA;NA;NA;NA;NA;2
"YALI1_B12195g";NA;NA;NA;NA;NA;2
"YALI1_E00746g";NA;NA;NA;NA;NA;2
"YALI1_D15458g";NA;NA;NA;NA;NA;2
"YALI1_C03596g";NA;NA;NA;NA;NA;2
"YALI1_C29355g";NA;NA;NA;NA;NA;2
"YALI1_B20493g";NA;NA;NA;NA;NA;2
"YALI1_E17643g";NA;NA;NA;NA;NA;2
"YALI1_C15186g";NA;NA;NA;NA;NA;2
"YALI1_C07087r";NA;NA;NA;NA;NA;2
"YALI1_E28808g";NA;NA;NA;NA;NA;2
"YALI1_F39183g";NA;NA;NA;NA;NA;2
"YALI1_C28497g";NA;NA;NA;NA;NA;2
"YALI1_B08207g";NA;NA;NA;NA;NA;2
"YALI1_E31031g";NA;NA;NA;NA;NA;2
"YALI1_B17853g";NA;NA;NA;NA;NA;2
