"Gene";"JFYL007_116";"JFYL007_3";"OKYL029_116";"OKYL029_3";"OKYL049_116";"OKYL049_3";"Protein.names"
"YALI1_A01298g";1;1;1;1;1;1;"Endoplasmic reticulum-based factor for assembly of V-ATPase-domain-containing protein (Vacuolar ATPase assembly integral membrane protein VPH2)"
"YALI1_A01394g";NA;NA;2;NA;2;NA;"Cation_ATPase_N domain-containing protein"
"YALI1_A07161g";NA;NA;2;NA;2;NA;"Uncharacterized protein"
"YALI1_A08115g";NA;2;NA;NA;NA;NA;"Uncharacterized protein"
"YALI1_A15846g";NA;2;NA;NA;NA;NA;"Kinetochore protein SPC25"
"YALI1_A16314g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_A16918g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_A16944g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_A16952g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_A20965g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_B05609g";NA;NA;1;NA;1;NA;"Uncharacterized protein"
"YALI1_B05639g";1;NA;1;NA;1;NA;"Uncharacterized protein"
"YALI1_B06134g";NA;2;NA;NA;NA;NA;"Uncharacterized protein"
"YALI1_B08207g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_B08247g";NA;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_B12195g";NA;NA;NA;NA;NA;2;"Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13)"
"YALI1_B17853g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_B20493g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_B29080g";NA;NA;NA;NA;NA;2;"Cauli_VI domain-containing protein"
"YALI1_B29360g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_B30303g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_C01505g";1;1;1;1;1;1;"Uncharacterized protein"
"YALI1_C01520g";NA;1;NA;1;NA;1;"Riboflavin synthase (EC 2.5.1.9)"
"YALI1_C01576g";NA;NA;1;NA;NA;NA;"Uncharacterized protein"
"YALI1_C03596g";NA;NA;NA;NA;NA;2;"HDc domain-containing protein"
"YALI1_C04690g";NA;NA;NA;1;NA;NA;"Uncharacterized protein"
"YALI1_C13817g";NA;NA;2;NA;NA;NA;"Altered inheritance of mitochondria protein 21"
