"Gene";"JFYL007_116";"JFYL007_3";"OKYL029_116";"OKYL029_3";"OKYL049_116";"OKYL049_3";"Protein.names"
"YALI1_C15186g";NA;NA;NA;NA;NA;2;"54S ribosomal protein L11"
"YALI1_C19775g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_C21241g";NA;NA;NA;NA;NA;1;"Stress response protein NST1"
"YALI1_C21544g";NA;NA;NA;2;NA;NA;"Altered inheritance of mitochondria protein 32 (Sucraseferredoxin-like protein)"
"YALI1_C25747g";NA;NA;NA;NA;2;NA;"Uncharacterized protein"
"YALI1_C28497g";NA;NA;NA;NA;NA;2;"Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)"
"YALI1_C29355g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_C29402g";NA;NA;NA;NA;1;NA;"Uncharacterized protein"
"YALI1_C29485g";NA;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_C29576g";NA;NA;NA;1;NA;1;"Uncharacterized protein"
"YALI1_D00352g";NA;NA;NA;1;NA;NA;"Uncharacterized protein"
"YALI1_D00406g";NA;NA;NA;NA;NA;1;"CUE domain-containing protein 5"
"YALI1_D00848g";NA;NA;NA;1;NA;NA;"E3 ubiquitin-protein ligase (EC 2.3.2.27)"
"YALI1_D01548g";2;NA;NA;NA;NA;NA;"Fungal-specific transcription factor domain-domain-containing protein (Monodictyphenone cluster transcription factor)"
"YALI1_D02488g";NA;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_D03380g";1;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_D04512g";NA;NA;NA;2;NA;NA;"Uncharacterized protein"
"YALI1_D06988g";NA;NA;NA;NA;1;NA;"Uncharacterized protein"
"YALI1_D07252g";1;NA;1;NA;1;NA;"Uncharacterized protein"
"YALI1_D07257g";1;NA;1;NA;1;NA;"Uncharacterized protein"
"YALI1_D08082g";NA;NA;NA;NA;2;NA;"Isocitrate dehydrogenase [NAD] subunit, mitochondrial"
"YALI1_D08621g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_D09322g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_D10243g";2;NA;NA;NA;NA;NA;"Uncharacterized protein"
"YALI1_D15458g";NA;NA;NA;NA;NA;2;"Immunoglobulin E-set"
"YALI1_D16354g";NA;NA;NA;2;1;NA;"Uncharacterized protein"
"YALI1_D17336g";NA;NA;2;NA;NA;NA;"Uncharacterized protein"
"YALI1_D20496g";NA;NA;NA;2;NA;NA;"Uncharacterized protein"
"YALI1_D22906g";NA;NA;NA;NA;NA;2;"Allantoicase (EC 3.5.3.4)"
"YALI1_D25104g";NA;NA;NA;NA;2;NA;"IPPc domain-containing protein"
"YALI1_D25370g";NA;NA;NA;NA;2;NA;"Uncharacterized protein"
"YALI1_D33879g";NA;NA;NA;1;NA;NA;"CoA-transferase family III domain-containing protein (Succinate--hydroxymethylglutarate CoA-transferase) (EC 2.8.3.13)"
"YALI1_E00746g";NA;NA;NA;NA;NA;2;"DOA4-independent degradation protein 4 (Snf7-domain-containing protein)"
"YALI1_E02850g";NA;NA;NA;2;NA;NA;"Cell surface Cu-only superoxide dismutase (EC 1.15.1.1) (Superoxide dismutase)"
"YALI1_E05599g";NA;NA;NA;NA;NA;2;"UBC core domain-containing protein"
"YALI1_E08689g";NA;1;1;1;1;1;"BTB domain-containing protein"
"YALI1_E09750g";NA;NA;NA;NA;2;NA;"Iron-sulfur clusters transporter ATM1, mitochondrial"
"YALI1_E12893g";NA;NA;2;NA;2;NA;"Amino acid permease-domain-containing protein (General amino-acid permease GAP2)"
"YALI1_E12919g";NA;NA;2;NA;2;NA;"Uncharacterized protein"
"YALI1_E12952g";NA;NA;NA;2;NA;NA;"DnaJ-related protein SCJ1"
"YALI1_E17643g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_E17754g";NA;NA;NA;NA;NA;2;"Anthranilate synthase (EC 4.1.3.27)"
"YALI1_E21535g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_E21552g";NA;NA;NA;2;NA;2;"Amino-acid permease"
"YALI1_E21555g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_E21638g";NA;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_E22126g";NA;NA;NA;2;NA;NA;"Hsp90 chaperone protein kinase-targeting subunit"
"YALI1_E22503g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_E24287g";NA;NA;NA;2;NA;2;"Homeobox protein YOX1"
"YALI1_E27406g";NA;NA;NA;2;NA;2;"Poly(A) RNA export protein (WD40-repeat-containing domain protein)"
"YALI1_E27625g";NA;NA;NA;2;NA;2;"Dimethyl-sulfide monooxygenase (EC 1.14.13.131)"
"YALI1_E27791g";NA;NA;NA;1;NA;NA;"Thioredoxin (Thioredoxin-like protein)"
"YALI1_E28052g";NA;NA;2;NA;NA;NA;"Uncharacterized protein"
"YALI1_E28097g";1;NA;NA;NA;NA;NA;"Phosphoinositide 3-phosphatase (EC 3.1.3.64)"
"YALI1_E28808g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_E31031g";NA;NA;NA;NA;NA;2;"LIN1-like protein"
"YALI1_E31154g";NA;2;NA;2;NA;2;"Sulfoquinovosyl transferase SQD2 (EC 2.4.1.-)"
"YALI1_E32152g";NA;NA;NA;1;NA;NA;"Purple acid phosphatase (EC 3.1.3.2)"
"YALI1_E41251g";NA;NA;NA;NA;2;NA;"Catalase (EC 1.11.1.6)"
"YALI1_F04345g";NA;NA;NA;NA;2;NA;"Zn(2)-C6 fungal-type domain-containing protein"
"YALI1_F04690g";NA;NA;NA;1;NA;NA;"Uncharacterized protein"
"YALI1_F09088g";NA;NA;NA;NA;2;NA;"Uncharacterized protein"
"YALI1_F10184g";NA;2;NA;NA;NA;NA;"Extracellular mutant protein 11-domain-containing protein"
"YALI1_F11635g";NA;NA;NA;2;NA;2;"NAD(+) diphosphatase (EC 3.6.1.22)"
"YALI1_F12895g";NA;NA;NA;NA;2;NA;"Uricase (EC 1.7.3.3) (Urate oxidase)"
"YALI1_F13170g";NA;2;NA;2;NA;2;"S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)"
"YALI1_F14368g";NA;NA;NA;1;NA;NA;"UPF0674 endoplasmic reticulum membrane protein"
"YALI1_F15878g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_F16165g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_F18641g";1;NA;NA;NA;NA;NA;"Uncharacterized protein"
"YALI1_F18696g";NA;NA;NA;NA;NA;1;"Uncharacterized protein"
"YALI1_F21453g";NA;NA;NA;2;NA;NA;"Uncharacterized protein"
"YALI1_F21676g";NA;NA;NA;2;NA;2;"Uncharacterized protein"
"YALI1_F21989g";NA;NA;2;NA;2;NA;"Carboxypeptidase S (EC 3.4.17.4)"
"YALI1_F23616g";NA;1;1;1;1;1;"Protein YTP1"
"YALI1_F23925g";NA;NA;NA;1;NA;NA;"Uncharacterized protein"
"YALI1_F33403g";NA;NA;NA;NA;2;NA;"UPF0644 protein PB2B4.06"
"YALI1_F35508g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
"YALI1_F35753g";1;NA;NA;NA;NA;NA;"Nucleolar GTP-binding protein 2"
"YALI1_F38466g";NA;NA;NA;NA;NA;2;"NADP-dependent oxidoreductase domain-containing protein"
"YALI1_F39183g";NA;NA;NA;NA;NA;2;"Uncharacterized protein"
