Accession;"ST6512-R1
Absolute abundance (mg protein / g CDW)";"ST6512-R2
Absolute abundance (mg protein / g CDW)";"ST6512-R3
Absolute abundance (mg protein / g CDW)";"OKYL029-R1
Absolute abundance (mg protein / g CDW)";"OKYL029-R2
Absolute abundance (mg protein / g CDW)";"OKYL029-R3
Absolute abundance (mg protein / g CDW)";"JFYL007-R1
Absolute abundance (mg protein / g CDW)";"JFYL007-R2
Absolute abundance (mg protein / g CDW)";"JFYL007-R3
Absolute abundance (mg protein / g CDW)";"JFYL014-R1
Absolute abundance (mg protein / g CDW)";"JFYL014-R2
Absolute abundance (mg protein / g CDW)";"JFYL014-R3
Absolute abundance (mg protein / g CDW)";"JFYL018-R1
Absolute abundance (mg protein / g CDW)-R1";"JFYL018-R2
Absolute abundance (mg protein / g CDW)-R2";"JFYL018-R3
Absolute abundance (mg protein / g CDW)-R3"
F2Z6I5;0.151156414;0.130265214;0.115073059;0.41818248;0.198890424;0.157787867;0.166967026;0.170691975;0.148931574;0.156038949;0.171530473;0.176402865;0.155684256;0.164832909;0.194472106
Q6C3G5;0.020251498;0.019313924;0.01281925;0.010638862;0.019394038;0.017342115;0.127864133;0.163684406;0.127227745;0.109972286;0.091478749;0.1189586;0.041702272;0.043454506;0.048709003
Q6CIA7;0.156340536;0.101039306;0.098373264;0.252641702;0.186772809;0.148823083;0.187383798;0.21616102;0.186893907;0.170133645;0.194322589;0.196596004;0.196064938;0.189034009;0.225518205
Q6C342;0.093736627;0.077979128;0.060000876;0.190978002;0.117134142;0.094605671;0.155872862;0.174725149;0.143248922;0.17881938;0.155662356;0.16320094;0.196681392;0.190407048;0.262997388
Q6C1D2;0.147807777;0.130636117;0.090530821;0.371397258;0.161279634;0.133269116;0.107258533;0.113845693;0.100611078;0.106076573;0.093200793;0.109358103;0.085760713;0.097195724;0.119628687
Q6C0Y7;0.149348818;0.129328356;0.104914712;0.186232668;0.138528906;0.129503689;0.144779885;0.171939751;0.166913391;0.205850008;0.173114476;0.200556825;0.119295267;0.173690249;0.166168449
Q6CC94;0.153475685;0.137613193;0.109833961;0.21080106;0.236955242;0.147193746;0.103929253;0.125865619;0.117383816;0.118947229;0.115682795;0.121578836;0.121655948;0.135592036;0.144968423
Q6C8C6;0.076421635;0.070070964;0.068545403;0.108591459;0.100802996;0.087998031;0.148588844;0.145196773;0.152356715;0.154366156;0.197692752;0.164849338;0.121251011;0.148252681;0.146303522
Q6C4C2;0.108300864;0.075313138;0.080098727;0.185229176;0.134763417;0.108812324;0.223447659;0.276201688;0.259972695;0.245083818;0.228553328;0.256933329;0.135179032;0.158280444;0.162546043
Q6CDS1;0.150266126;0.131889893;0.096689582;0.325724765;0.186562017;0.146774475;0.144069032;0.161349309;0.138967117;0.144821145;0.157106254;0.150885007;0.135398747;0.143344743;0.17164133
Q6C9P6;0.168353674;0.145684996;0.108901316;0.318910101;0.156666001;0.154070921;0.141766288;0.151803976;0.14552182;0.183761662;0.166179;0.1860687;0.460264232;0.570526236;0.663892005
O59950;0.089476914;0.08303402;0.072484006;0.111041008;0.078281681;0.084455348;0.148214305;0.170103491;0.160744536;0.1665016;0.164780064;0.17279314;0.10675011;0.133938595;0.138197045
cont_P35908;0.150425499;0.039323392;0.030943047;0.116491413;0.132924595;0.027234525;0.091206432;0.06738247;0.068762312;0.061962299;0.062898884;0.070532449;0.05805855;0.095429129;0.091529068
P29407;0.097974829;0.075493465;0.073192256;0.243291036;0.158054418;0.104615319;0.161459942;0.179814956;0.171704027;0.181133115;0.182037065;0.190847358;0.152633311;0.158280392;0.16757305
Q6C4Q2;0.106521052;0.098586299;0.088463998;0.165769385;0.147853941;0.128278554;0.154374402;0.182349189;0.157599619;0.17568524;0.184579278;0.181521728;0.115529968;0.13261521;0.157179102
Q9UVF3;0.190969306;0.172352016;0.12378187;0.300738123;0.167120146;0.154734511;0.158964601;0.191625958;0.170296087;0.165627762;0.139632456;0.166247899;0.144341106;0.176391844;0.213819521
Q6CGR2;0.209288532;0.185438752;0.163682639;0.210642493;0.226711839;0.20623908;0.322581943;0.330192983;0.314498228;0.328142336;0.319255849;0.352813451;0.266503342;0.337242398;0.345685324
Q6C4U1;0.095244967;0.087903285;0.077900901;0.082511458;0.097030483;0.094589149;0.159168225;0.170617459;0.156648292;0.165059618;0.170318921;0.176414653;0.116758723;0.133653407;0.147112548
Q6C9H5;0.178519455;0.166183901;0.168575489;0.242152829;0.231794451;0.200004834;0.333524006;0.363677055;0.324690906;0.352390097;0.422907244;0.392401511;0.246761838;0.282012969;0.304840301
cont_P35527;0.05037027;0.033472699;0.035943836;0.113360775;0.118091774;0.032219946;0.066163073;0.10138263;0.049156148;0.05726773;0.18874215;0.057811283;0.06923543;0.129179915;0.12429245
Q6CFS9;0.106061457;0.09323263;0.077209741;0.169336656;0.139851811;0.113415865;0.154509749;0.168077278;0.15272449;0.145006745;0.143654817;0.152407718;0.123409702;0.137714932;0.160571076
Q6C6V1;0.193468659;0.163786958;0.113605339;0.228779161;0.222702125;0.184314704;0.166243221;0.186698671;0.179946631;0.191009958;0.176860238;0.201375438;0.129740727;0.170074158;0.174559382
Q6C6Q4;0.117829372;0.096530837;0.087459187;0.174438616;0.127846573;0.116057861;0.259971816;0.297857289;0.271081304;0.341726695;0.380274153;0.371507595;0.21848202;0.285784413;0.288847435
Q6C2Y4;0.10692375;0.089513799;0.075884725;0.118551783;0.09284431;0.087813425;0.099908;0.113907507;0.100157529;0.147438953;0.14689254;0.168876806;0.326950436;0.403861621;0.437192191
Q6C5P5;0.098482166;0.083051033;0.07536339;0.140802575;0.106122132;0.102313018;0.144079285;0.174073727;0.168745607;0.154629058;0.148009508;0.155023469;0.087457509;0.111265612;0.113785956
cont_P13645;0.095901851;0.025095307;0.023845582;0.092522318;0.11750232;0.019940793;0.085289265;0.063678799;0.071349965;0.059818162;0.068836552;0.064242759;0.059675425;0.092840736;0.085159903
Q6C4I7;0.037889122;0.032127054;0.038987097;0.108054287;0.059350001;0.048012198;0.03706066;0.038234764;0.036131296;0.036112942;0.041097925;0.038737468;0.042071228;0.048429359;0.048525955
Q6C7U9;0.081434222;0.072285003;0.091971896;0.170853771;0.123419685;0.100494176;0.209548143;0.205125844;0.194763222;0.194211816;0.284460262;0.214316396;0.159040704;0.168835885;0.177942491
Q6C4C9;0.052775317;0.044162291;0.043831423;0.063033932;0.068407806;0.058603908;0.126930431;0.149319644;0.117627034;0.129768419;0.13314301;0.140204185;0.07665331;0.086420227;0.104814501
Q6CAV8;0.144832914;0.122045976;0.099685249;0.249875307;0.141338405;0.129363281;0.143206494;0.161682458;0.146867919;0.199575793;0.176883152;0.208117462;0.127479106;0.155538497;0.177045386
Q6C161;0.107139503;0.09594422;0.090534208;0.118706827;0.124413034;0.116032212;0.192900671;0.204309775;0.199083202;0.189219461;0.206137208;0.215335943;0.133539297;0.158160138;0.166011257
F2Z650;0.108836338;0.096931895;0.08066795;0.228610054;0.131012506;0.115667099;0.142238883;0.15411775;0.129628341;0.122631611;0.124330393;0.13003238;0.083242598;0.088682196;0.104730028
Q6CFA8;0.171756675;0.159252686;0.119768088;0.179909837;0.167250035;0.158072586;0.313533566;0.329671993;0.310914203;0.292693821;0.279052165;0.31088174;0.15054835;0.190901437;0.185767215
Q6CA97;0.078351607;0.069552353;0.055021216;0.204093114;0.124524039;0.081650018;0.098829484;0.104965147;0.08996778;0.082139434;0.092139032;0.087834125;0.103697282;0.100855136;0.13010131
Q6CDV4;0.092764676;0.079738521;0.074434381;0.229934247;0.135997061;0.097293537;0.113700107;0.116319521;0.099605754;0.095716305;0.087470715;0.09992349;0.093308755;0.095535867;0.128693604
Q6C3H5;0.167289012;0.145714851;0.125839559;0.331697702;0.185747048;0.15751852;0.240737412;0.273531313;0.256182054;0.255838898;0.216910455;0.271069673;0.147265718;0.186893038;0.199491677
Q6C7I2;0.035284289;0.03278922;0.02907625;0.092774335;0.029424982;0.035966572;0.048797002;0.053741139;0.051025683;0.068566532;0.072116006;0.062628879;0.543577707;0.647097562;0.687935985
P59680;0.129586319;0.115767712;0.123394075;0.149327201;0.160439323;0.156293246;0.167603162;0.197862081;0.186382271;0.199636766;0.174879691;0.226429992;0.111460816;0.144005943;0.139697479
Q6C1K2;0.096599474;0.068896583;0.069159847;0.223422397;0.17070877;0.108343162;0.113873614;0.121189274;0.100284295;0.114363927;0.128835818;0.121657478;0.121944804;0.104711905;0.143217593
Q6CD12;0.086133023;0.078883365;0.078122022;0.093251927;0.106495115;0.10602101;0.150835689;0.178608005;0.164629867;0.160810955;0.161851129;0.180097861;0.111103378;0.126430637;0.140867172
Q6C5X9;0.09287185;0.071713796;0.063793782;0.341555685;0.134730769;0.098015441;0.13973413;0.145419658;0.13028734;0.135337295;0.170348302;0.13952229;0.113536015;0.120759132;0.130497358
Q6CFD2;0.089149639;0.080392763;0.071996434;0.158708636;0.106249533;0.094383684;0.156301567;0.166363816;0.148078848;0.159481297;0.174069487;0.174851421;0.094417801;0.112495614;0.125213306
Q6CE87;0.157161281;0.13630335;0.114419289;0.275276625;0.154182007;0.143107375;0.16941376;0.193804802;0.176380018;0.204050124;0.215003624;0.217738865;0.157878035;0.19654066;0.204992353
Q6CF74;0.110648733;0.103138622;0.103943191;0.110864008;0.115410363;0.108577338;0.137661334;0.15642318;0.16961622;0.141935814;0.170350843;0.157616903;0.106721603;0.138249951;0.125749925
Q6C1A3;0.288416987;0.262150724;0.215148816;0.241138073;0.318031944;0.27161282;0.204997126;0.201663762;0.192574196;0.216150444;0.186640688;0.238026969;0.186164273;0.235513163;0.253116496
Q6CG57;0.061813748;0.052998993;0.040003852;0.160088368;0.065794651;0.059668958;0.061713403;0.070932342;0.062786799;0.091211174;0.077750759;0.090248781;0.067730747;0.075479224;0.09344002
Q6C177;0.114645638;0.087847428;0.073122882;0.11373647;0.11285127;0.088357936;0.099882077;0.119773593;0.099241881;0.101750242;0.091843454;0.094550032;0.081002271;0.092163075;0.109968168
Q6CFT7;0.127936205;0.101995822;0.063880441;0.22392323;0.156821357;0.120811546;0.085992765;0.09258368;0.077509156;0.088617924;0.068697459;0.089848427;0.0854886;0.090715338;0.123659873
Q6C4K5;0.095475999;0.079579641;0.073756225;0.204756485;0.112001228;0.095488698;0.114709094;0.126817294;0.113300027;0.117229647;0.109741758;0.118506026;0.095858861;0.112540162;0.123486579
Q6CCI8;0.0916417;0.072228178;0.060636479;0.112534987;0.109739679;0.09462117;0.116520536;0.118176389;0.104996643;0.105205117;0.091443809;0.113085189;0.068165241;0.074085578;0.094104329
Q6C5W5;0.148367473;0.127263851;0.112210004;0.204526664;0.168335681;0.151707619;0.174968203;0.190453206;0.173451826;0.174207617;0.148946161;0.186253444;0.131448447;0.150732542;0.172517249
Q6C211;0.102435224;0.094239901;0.091463368;0.150633406;0.103590249;0.098849718;0.187662152;0.191391149;0.176252875;0.208978871;0.244448983;0.238358851;0.178877362;0.212533755;0.218526904
Q6CDT1;0.134810987;0.118860362;0.113238821;0.123557877;0.138340234;0.138012219;0.229655399;0.236653337;0.235965942;0.20738673;0.198944901;0.243560787;0.183044252;0.226539529;0.232534782
Q6C551;0.137360195;0.123247124;0.116023058;0.103168517;0.118269912;0.118658643;0.226144389;0.23236239;0.242943187;0.305520545;0.325538886;0.294752544;0.153943687;0.231620004;0.195783715
Q6C2S5;0.036591884;0.033764477;0.031435669;0.06044075;0.045010455;0.038482962;0.07072988;0.077700252;0.06917335;0.068628993;0.081563121;0.077646564;0.060042772;0.058728014;0.072553555
Q6C8Q9;0.240536021;0.216823728;0.184039453;0.175497071;0.230665845;0.233935965;0.33213309;0.374831835;0.356648442;0.400484263;0.405385159;0.422030802;0.259705547;0.310703474;0.336187603
Q6CIA2;0.17487218;0.14531679;0.097497829;0.185887321;0.205895655;0.166182109;0.138743839;0.142378539;0.124671812;0.147469969;0.14386717;0.148438276;0.107453993;0.116746348;0.14868927
Q6C6J2;0.132718714;0.11394285;0.097658018;0.176161558;0.133536254;0.124304174;0.162526331;0.187218231;0.180640509;0.197640631;0.186874215;0.20264405;0.129883953;0.170397639;0.159565041
Q6C7C0;0.175946455;0.158525947;0.127762532;0.175336313;0.187019317;0.177766792;0.205629695;0.228108922;0.203972783;0.200066754;0.177429532;0.210739403;0.169687312;0.203920616;0.237273522
Q6C1Q9;0.145987623;0.119799699;0.116862379;0.239515817;0.169815148;0.145144763;0.231237779;0.269804924;0.225941843;0.279818657;0.318635658;0.287391238;0.224457848;0.255529976;0.290726181
Q6BZY5;0.214279993;0.131043277;0.164048404;0.158950394;0.21469138;0.184386132;0.166528251;0.222611164;0.230332104;0.208217026;0.234329794;0.247329615;0.110651354;0.156805619;0.145116089
Q6CBQ3;0.150707751;0.140459593;0.117727399;0.170477385;0.171394463;0.166046544;0.158964395;0.173197537;0.168338732;0.166596009;0.156575722;0.182067222;0.141995581;0.17181896;0.179012377
Q6CGI3;0.221114275;0.180674602;0.157410875;0.222353146;0.250465669;0.228329568;0.231418725;0.26492213;0.270015417;0.270798918;0.239528402;0.280332672;0.183657875;0.246981279;0.229482345
Q6CBL6;0.079369468;0.070721767;0.057179304;0.081595771;0.093056247;0.07983226;0.077921353;0.08108405;0.080940803;0.068099619;0.078198209;0.075869628;0.080378707;0.096841947;0.092864778
Q6C9X2;0.077959742;0.061971617;0.05865506;0.129849656;0.086200773;0.075656683;0.16318652;0.184586732;0.186232996;0.188405719;0.201828664;0.18955545;0.100384418;0.134799428;0.122974333
Q6C3M8;0.231094468;0.19886327;0.190103772;0.339615042;0.282368685;0.251934753;0.290034593;0.296031394;0.289449539;0.308139046;0.340091504;0.347927812;0.241318722;0.304202487;0.29682918
Q6CDH3;0.151698377;0.121136524;0.097403516;0.172442803;0.161773974;0.138082035;0.13769153;0.154140601;0.134843349;0.128507517;0.093896173;0.128686355;0.105332488;0.112024673;0.137584963
Q6C793;0.12360287;0.103266916;0.093306629;0.280775243;0.169479699;0.138036646;0.129975273;0.130631103;0.119981002;0.152645519;0.170912973;0.168692663;0.136328957;0.140001532;0.171332523
Q6CCT2;0.168542931;0.14238091;0.119972227;0.243559568;0.183753778;0.158795447;0.15332033;0.176798552;0.134123782;0.160606442;0.185947776;0.161976979;0.154328472;0.175956407;0.212060408
Q6CEM5;0.072017277;0.06455485;0.054218882;0.096123665;0.078075202;0.064087849;0.094125072;0.094145893;0.087043789;0.089327595;0.083337653;0.090299519;0.07719147;0.083369489;0.101361609
Q6CAZ5;0.163803728;0.15532733;0.122383461;0.20242785;0.17768973;0.168029179;0.191833484;0.22029726;0.213113605;0.202501487;0.20264191;0.20832933;0.154260843;0.190574032;0.197239464
Q6C8Q3;0.149586346;0.125164564;0.111803761;0.23084402;0.203954215;0.159256498;0.130757695;0.131507078;0.113190965;0.099556752;0.09649569;0.11098468;0.120747208;0.132362314;0.157446686
Q6CF46;0.097292989;0.085693139;0.085003979;0.16658849;0.11478846;0.102175293;0.13467704;0.155368414;0.14598625;0.149158524;0.159313303;0.174077262;0.100105219;0.122145957;0.125371333
Q6CAF8;0.078309112;0.07072005;0.052169059;0.114495178;0.072373511;0.077033268;0.099738947;0.113881185;0.101750836;0.126602915;0.123934072;0.146910546;0.074376261;0.088135913;0.101769848
F2Z6F8;0.090366065;0.076540083;0.058690006;0.16779479;0.095062552;0.07652633;0.068202046;0.07676111;0.073429369;0.07415387;0.065691735;0.074734864;0.067165639;0.07369477;0.087107852
Q6C8D6;0.082525503;0.067113291;0.050544609;0.035128342;0.135914071;0.108158793;0.049945415;0.053221711;0.029999534;0.0273312;0.021796884;0.03195572;0.030385612;0.01889214;0.039024131
Q6CEP2;0.108987459;0.095987332;0.072793977;0.372718385;0.139962941;0.096726161;0.130606607;0.140941213;0.122216668;0.11658637;0.124834066;0.127438906;0.096489574;0.115304384;0.127967937
Q6C0C5;0.044488792;0.042947031;0.044922182;0.125285119;0.081188993;0.058374269;0.039980415;0.039869147;0.039553211;0.036445378;0.040701236;0.0427819;0.038894249;0.048487509;0.049564252
Q6C7Y2;0.092290564;0.068159682;0.053852904;0.139672065;0.083197918;0.080430472;0.080518983;0.099729073;0.09049568;0.092192951;0.082484878;0.084130897;0.066934177;0.080923099;0.083431849
Q6C3Y8;0.357873026;0.320455645;0.227531219;0.344803835;0.354807125;0.332858005;0.144078353;0.167338572;0.155199464;0.160416404;0.132727806;0.17318187;0.13315655;0.167910786;0.188182955
Q6C4A4;0.10421392;0.084944277;0.069397883;0.118199446;0.147264391;0.111715601;0.126506738;0.139956312;0.117018971;0.125703411;0.12348563;0.11728642;0.1040841;0.106089047;0.13751797
Q6CGH1;0.067142992;0.060911786;0.050288245;0.074128512;0.063252133;0.060937862;0.09760993;0.107503278;0.101865329;0.097963855;0.103156596;0.1025838;0.080083559;0.091659946;0.10097425
Q6C4B9;0.248086138;0.23121742;0.186754218;0.177832633;0.235226034;0.245051053;0.219111069;0.247988358;0.235009384;0.235933354;0.214851257;0.241866881;0.201037295;0.259537721;0.265550067
Q6CB69;0.049851575;0.045112651;0.040834731;0.118087854;0.052514043;0.052361152;0.079464638;0.086238511;0.077001011;0.083050245;0.076743502;0.0920195;0.059625784;0.066232066;0.076248583
Q6C3E1;0.176874139;0.169397826;0.138677043;0.292932018;0.157322612;0.160653063;0.179631519;0.201178353;0.185328843;0.196134333;0.198785795;0.214351479;0.149449891;0.184029854;0.199031833
Q6CAU5;0.043973127;0.037672841;0.034700695;0.093430205;0.058993384;0.049188534;0.131013754;0.139433509;0.124150037;0.124482885;0.146401921;0.126350091;0.104718599;0.102127296;0.112835979
Q6C2R9;0.034799522;0.028237743;0.030488971;0.109487103;0.057486918;0.035258958;0.079666013;0.07629424;0.057689895;0.057516485;0.085550508;0.064118405;0.079388768;0.064427376;0.100221313
Q6C0J5;0.069138441;0.065767288;0.05481272;0.109195959;0.073198395;0.068946661;0.102081801;0.112700417;0.108193843;0.102215092;0.096305224;0.109771133;0.074147977;0.088448491;0.096929629
F2Z5Z3;0.024276548;0.021959962;0.02544515;0.041928751;0.031330564;0.034279655;0.021756454;0.027406096;0.021264429;0.037958061;0.040273412;0.045700357;0.025840759;0.037193976;0.037307226
Q6BZU8;0.167001655;0.145943131;0.118299283;0.292328724;0.173486933;0.164054966;0.174579533;0.201311804;0.18661397;0.198311453;0.179848855;0.20358609;0.154436802;0.186790001;0.20897519
P30614;0.082774638;0.053936238;0.039921645;0.094531004;0.084079459;0.074178675;0.060368518;0.061870416;0.058503126;0.064564213;0.062813137;0.067558107;0.058236772;0.064605405;0.069784535
Q6BZY1;0.165761196;0.135685777;0.105753152;0.264898112;0.197061464;0.163339778;0.151355193;0.165235599;0.155023663;0.166564779;0.150021393;0.16788983;0.134808804;0.154681755;0.171370918
Q6CEQ0;0.059840791;0.049710407;0.052590431;0.173045015;0.089406528;0.075500364;0.092157955;0.103253021;0.100214571;0.116694931;0.109157477;0.125763899;0.073245586;0.085846263;0.092492803
Q6C5R9;0.133729684;0.116316108;0.11438076;0.481685372;0.150500254;0.120574622;0.146906605;0.150725005;0.138447411;0.15054912;0.17080095;0.160698584;0.10180445;0.115587455;0.117988889
Q6CCD1;0.071610963;0.06747196;0.059816521;0.074452893;0.07008803;0.068796807;0.13294698;0.157197893;0.173607874;0.200801682;0.211618627;0.209531547;0.113560645;0.16931263;0.128616064
Q6C5C0;0.098082577;0.091814095;0.076057257;0.169149951;0.093360129;0.080611032;0.110631555;0.117044327;0.096906683;0.108573811;0.105931483;0.109642741;0.094759515;0.104409133;0.128191236
Q6C781;0.109768419;0.095846304;0.071864004;0.114803346;0.121598738;0.10345623;0.147298073;0.156461399;0.138223872;0.115005683;0.103722007;0.128154459;0.115871631;0.119883961;0.13435052
Q6CHE2;0.051680546;0.039602452;0.036224722;0.059463531;0.059207984;0.050870491;0.108101648;0.114360717;0.110115662;0.120871364;0.123914928;0.125522448;0.082584456;0.094796933;0.103098431
Q99148;0.157091729;0.138808901;0.116412698;0.292309393;0.183969745;0.153628469;0.177221059;0.199334914;0.167347766;0.155557923;0.176278327;0.173381438;0.15184283;0.163366305;0.198385852
F2Z694;0.029123352;0.028189766;0.027738599;0.038899867;0.031504112;0.031633861;0.111561192;0.108469749;0.11761123;0.125465143;0.107376455;0.113014664;0.069345456;0.083514975;0.088375162
Q6CAA3;0.068577785;0.061540826;0.057941963;0.052765057;0.065679359;0.067836583;0.119829852;0.13577716;0.13578355;0.15054245;0.174051953;0.162810187;0.092096824;0.118549403;0.110488495
Q6C4N2;0.159242907;0.156812635;0.137309394;0.13271049;0.153336657;0.164859513;0.225015961;0.221863862;0.22958855;0.242067051;0.268222805;0.271537053;0.16863036;0.223714822;0.211154207
Q6C1Y2;0.074920418;0.053517884;0.05107059;0.107351143;0.102302869;0.06807077;0.199648577;0.22856683;0.176546318;0.175091487;0.200553124;0.162672276;0.124341822;0.126034497;0.148182668
Q6CFX7;0.080433725;0.069916042;0.058351752;0.145450915;0.08858941;0.076754635;0.086086373;0.094190885;0.084989106;0.085929952;0.080324565;0.091280576;0.07118109;0.087921441;0.102031287
Q6C6H1;0.226763265;0.18825957;0.134192613;0.135813647;0.162478522;0.163198745;0.173365765;0.210053393;0.212723985;0.226876925;0.203242105;0.231449618;0.135526294;0.181270438;0.169798619
