Accession;"ST6512-R1
Absolute abundance (mg protein / g CDW)";"ST6512-R2
Absolute abundance (mg protein / g CDW)";"ST6512-R3
Absolute abundance (mg protein / g CDW)";"OKYL029-R1
Absolute abundance (mg protein / g CDW)";"OKYL029-R2
Absolute abundance (mg protein / g CDW)";"OKYL029-R3
Absolute abundance (mg protein / g CDW)";"JFYL007-R1
Absolute abundance (mg protein / g CDW)";"JFYL007-R2
Absolute abundance (mg protein / g CDW)";"JFYL007-R3
Absolute abundance (mg protein / g CDW)";"JFYL014-R1
Absolute abundance (mg protein / g CDW)";"JFYL014-R2
Absolute abundance (mg protein / g CDW)";"JFYL014-R3
Absolute abundance (mg protein / g CDW)";"JFYL018-R1
Absolute abundance (mg protein / g CDW)-R1";"JFYL018-R2
Absolute abundance (mg protein / g CDW)-R2";"JFYL018-R3
Absolute abundance (mg protein / g CDW)-R3"
Q6C1F3;0.414370026;0.3806429;0.334708654;0.337136185;0.408431346;0.407172538;0.485683813;0.529436797;0.507726746;0.592974107;0.699330623;0.637250612;0.419692115;0.522585952;0.538735531
Q6C638;0.526106747;0.51796129;0.365149917;1.087045585;0.561250363;0.563856993;0.578207902;0.636252275;0.553972229;0.515986222;0.495620409;0.51104164;0.340942021;0.410137045;0.494619794
Q6C1A9;0.137593651;0.125619196;0.139277276;0.293637159;0.167347659;0.186653746;0.250565035;0.275887819;0.280554502;0.365692948;0.429596099;0.430357261;0.461771354;0.522363262;0.505474272
Q6CDQ7;0.385645183;0.324990882;0.291095324;0.450476365;0.43742553;0.35844284;0.420356126;0.434469463;0.395438392;0.428382238;0.455343734;0.466796241;0.436899643;0.485158922;0.531664206
Q6CAV2;0.208685949;0.180001549;0.150030702;0.345243327;0.26227122;0.223389141;0.177106209;0.187077549;0.176751883;0.200525089;0.168107987;0.196755453;0.467606474;0.512875738;0.614310209
Q6C1Z3;0.153033224;0.131854859;0.109094618;0.188647953;0.150778525;0.145968841;0.24388528;0.274444635;0.256802754;0.263755741;0.251441472;0.284056628;0.184503799;0.231812779;0.234170602
Q6C354;0.046891945;0.040278895;0.031695195;0.039403079;0.029696864;0.037662021;0.062197912;0.074325906;0.072559266;0.088124789;0.087639567;0.092380315;0.904953907;1.066367683;1.182965696
Q6C864;0.253154725;0.187034604;0.210505979;0.221804721;0.339227365;0.245514813;0.338409351;0.408494603;0.367055631;0.304998835;0.287108983;0.346169515;0.288784368;0.323425472;0.360498351
Q6C0E9;0.075708025;0.070716199;0.039082717;0.114359304;0.088672111;0.077779668;0.057662074;0.065557718;0.053170183;0.050981561;0.04839348;0.057642525;0.048500316;0.046419013;0.069765598
Q6CCN4;0.202918098;0.177565427;0.133232113;0.179793412;0.200792333;0.183666069;0.349415398;0.415065335;0.368340093;0.358967289;0.338409441;0.371103865;0.199316056;0.237788948;0.260293277
P34229;0.280156762;0.230908686;0.198095928;0.283622115;0.297161481;0.261053886;0.489464777;0.548533545;0.514855854;0.649983536;0.610071117;0.705773016;0.296992135;0.360433143;0.373064766
Q6C290;0.460616366;0.096497704;0.083022458;0.104339932;0.108831754;0.100792935;0.149937562;0.16858851;0.143787931;0.174208336;0.160294324;0.205899872;0.105375689;0.126372024;0.126289831
Q6CC91;0.244315059;0.211779986;0.180598526;0.283557511;0.247907464;0.244421974;0.55403279;0.651832163;0.61887869;0.830173479;0.795574544;0.846144434;0.320274585;0.398620463;0.402853719
Q6CI99;0.266152954;0.219250557;0.171441013;0.534193136;0.290819652;0.266447203;0.365328087;0.368550548;0.318392298;0.343905548;0.34725603;0.372486575;0.257176588;0.27122616;0.34795376
Q6CE16;0.401671746;0.329364362;0.283987529;0.579848027;0.45014493;0.396199643;0.576494411;0.703546077;0.604002222;0.778091792;0.654262313;0.809539357;0.373478559;0.447385662;0.501850123
Q6C9V0;0.126923249;0.121843064;0.079541121;0.201926584;0.150414731;0.125354148;0.173456701;0.184160011;0.139608122;0.248441909;0.19152275;0.225731507;0.12847235;0.131825709;0.160034715
Q6CBM2;0.145674161;0.126177652;0.088905344;0.367923324;0.151363703;0.133189021;0.157907833;0.191155987;0.151564892;0.169764164;0.12557554;0.154614438;0.123811692;0.126752883;0.15529679
O59949;0.248654371;0.209892593;0.18560918;0.509094009;0.270891266;0.24802074;0.320585989;0.353761802;0.307246162;0.3183699;0.295170281;0.333306205;0.225837758;0.258663691;0.308814794
cont_P04264;0.147820526;0.065865988;0.061484131;0.207231104;0.24487372;0.053747202;0.152093453;0.179397597;0.118158375;0.131215483;0.298820783;0.122062185;0.137961146;0.238100355;0.22973998
Q6C326;0.124415971;0.093746389;0.083440533;0.238861036;0.141499855;0.114857167;0.169265466;0.177916346;0.14468541;0.161395713;0.185863693;0.182380507;0.161537504;0.172544854;0.205178927
Q99170;0.185445984;0.165265345;0.130750519;0.274987194;0.199425386;0.174089324;0.327673338;0.370474683;0.327292609;0.280680781;0.233827339;0.272927877;0.226390391;0.249035671;0.282403084
Q6C617;0.176603896;0.143959787;0.122041569;0.284700989;0.252190135;0.201711064;0.311250531;0.331819736;0.277717037;0.273705698;0.257923939;0.273090331;0.229041109;0.225344211;0.314234991
Q6C618;0.149039641;0.124261744;0.10322843;0.306803639;0.190970082;0.149350936;0.185373564;0.214056016;0.17522774;0.16948094;0.15180944;0.178622911;0.143645315;0.149442695;0.200751345
Q6CDZ4;0.409970037;0.375530943;0.320099171;0.859626734;0.525852251;0.468309143;0.370009975;0.40030109;0.382305708;0.3979457;0.42797699;0.430492865;0.384037984;0.424029344;0.474480471
Q6C6H5;0.275857762;0.217683047;0.188618655;0.36121942;0.370061837;0.296954644;0.442868167;0.506290163;0.419858556;0.44960846;0.470560395;0.469645741;0.327673966;0.348992498;0.423681384
Q6CCU7;0.208549258;0.169753839;0.13500042;0.489915206;0.217975056;0.168623501;0.176239277;0.176512562;0.154124718;0.151386244;0.155046525;0.167468262;0.191566504;0.207049426;0.2220111
Q6C6T4;0.179185455;0.143788648;0.141428632;0.283625197;0.244692426;0.189897;0.311185532;0.328368778;0.359824795;0.338304395;0.346300337;0.345593838;0.285847943;0.361268476;0.32887841
Q6CEH4;0.179877788;0.146529381;0.134880622;0.230824465;0.213889668;0.189114365;0.229511103;0.248976723;0.2428776;0.300907954;0.29340697;0.321042636;0.178378177;0.214189905;0.230832808
Q6C1P6;0.239205582;0.192112603;0.139805753;0.446698525;0.297640313;0.231464868;0.104070945;0.121970072;0.112900535;0.117977288;0.099578042;0.128149507;0.105479279;0.127286323;0.136927303
