"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"arginine biosynthetic process";3;2;5;"11";0;0;3;2
"2";"cell redox homeostasis";4;5;9;"7";0;0;4;5
"3";"cellular amino acid metabolic process";7;2;9;"12";0;0;7;2
"4";"cytoskeleton organization";2;5;7;"6";0;0;2;5
"5";"DNA-dependent DNA replication";6;0;6;"18";0;0;6;0
"6";"glutamine metabolic process";1;4;5;"8";0;0;1;4
"7";"intracellular protein transport";19;12;31;"25";0;0;19;12
"8";"mRNA transport";5;2;7;"16";0;0;5;2
"9";"positive regulation of cellular process";0;5;5;"23";0;0;0;5
"10";"rDNA heterochromatin assembly";2;3;5;"18";0;0;2;3
"11";"vesicle docking involved in exocytosis";5;1;6;"7";0;0;5;1
"12";"All";1531;1546;3077;"";8;15;1523;1531
