"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"aldehyde dehydrogenase (NAD+) activity";3;2;5;"9";1;0;2;2
"2";"CoA-ligase activity";3;2;5;"20";0;0;3;2
"3";"D-galacturonate reductase activity";1;4;5;"23";0;0;1;4
"4";"heme binding";1;9;10;"9";0;0;1;9
"5";"ligase activity";23;10;33;"17";0;0;23;10
"6";"lipid binding";3;7;10;"21";0;0;3;7
"7";"mRNA binding";5;24;29;"4";0;1;5;23
"8";"phosphatidylinositol-3-phosphate binding";4;2;6;"11";0;0;4;2
"9";"transferase activity, transferring acyl groups";14;20;34;"10";0;0;14;20
"10";"ubiquitin conjugating enzyme activity";1;4;5;"6";0;0;1;4
"11";"All";1520;1557;3077;"";8;6;1512;1551
