"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"actin cortical patch";4;5;9;"16";0;0;4;5
"2";"cell cortex";3;7;10;"9";0;0;3;7
"3";"cell division site";3;11;14;"9";0;0;3;11
"4";"chromosome, centromeric region";3;4;7;"6";0;1;3;3
"5";"cytoplasmic microtubule";3;3;6;"15";0;0;3;3
"6";"endomembrane system";7;7;14;"9";1;0;6;7
"7";"incipient cellular bud site";1;5;6;"19";0;0;1;5
"8";"intracellular membrane-bounded organelle";15;13;28;"2";0;0;15;13
"9";"mediator complex";4;5;9;"18";0;0;4;5
"10";"microtubule cytoskeleton";2;3;5;"10";0;0;2;3
"11";"mitochondrial nucleoid";2;5;7;"25";0;0;2;5
"12";"mitochondrial outer membrane";4;2;6;"9";0;0;4;2
"13";"P-body";5;4;9;"7";0;0;5;4
"14";"yeast-form cell wall";6;4;10;"17";0;0;6;4
"15";"All";1531;1546;3077;"";8;15;1523;1531
