"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"cell wall";5;8;13;"21";0;0;5;8
"2";"cellular bud";5;1;6;"25";0;0;5;1
"3";"endomembrane system";8;6;14;"13";1;0;7;6
"4";"extracellular region";16;13;29;"8";0;0;16;13
"5";"fungal-type cell wall";5;15;20;"12";0;0;5;15
"6";"incipient cellular bud site";2;4;6;"21";0;0;2;4
"7";"integral component of endoplasmic reticulum membrane";1;8;9;"11";0;0;1;8
"8";"integral component of Golgi membrane";1;6;7;"13";0;1;1;5
"9";"microtubule";7;6;13;"21";0;0;7;6
"10";"peroxisomal membrane";1;5;6;"19";0;0;1;5
"11";"peroxisome";13;16;29;"1";1;0;12;16
"12";"site of double-strand break";1;4;5;"5";0;0;1;4
"13";"site of polarized growth";6;2;8;"14";0;0;6;2
"14";"trans-Golgi network";2;6;8;"5";0;1;2;5
"15";"All";1420;1657;3077;"";17;11;1403;1646
