Pair	Num Increases	Avg Increase	Median Increase	Num Decreases	Avg Decrease	Median Decrease	Num Rev Changes	Total Sig Changes
ecOKYL029_vs_ecST6512	26	1.8433	1.1347	149	0.8414	0.8810	0	176
ecJFYL07_vs_ecOKYL029	70	13.5739	1.1234	115	0.7545	0.7642	0	198
ecJFYL14_vs_ecJFYL07	178	1.6369	1.3752	23	0.6410	0.7268	0	211
ecJFYL18_vs_ecJFYL07	170	1.2873	1.2064	24	0.6311	0.8078	0	209
