"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_A01298g";"YALI1_A01298g";2,81830133813916;7,15380779674065;24,8444459524599;4,0116411268762e-25;1,23438197473981e-21;46,8129704747945
"YALI1_B05639g";"YALI1_B05639g";2,3163933834824;5,43109600402108;12,4523730247199;5,39582669346709e-15;8,30147936789911e-12;24,0903097355159
"YALI1_D07252g";"YALI1_D07252g";1,49650895515372;8,85266540308701;12,0104774341679;1,62572777049773e-14;1,66745478327384e-11;22,9024916707189
"YALI1_E12893g";"YALI1_E12893g";-2,70972955184979;2,63740578083055;-9,05133904611888;4,98779069494084e-11;3,782135458985e-08;14,6625796698481
"YALI1_C01505g";"YALI1_C01505g";4,99298241670517;7,63918065955323;8,97954017475102;6,14581647543874e-11;3,782135458985e-08;13,0594089269072
"YALI1_D07257g";"YALI1_D07257g";1,31843694886353;6,14905180357236;7,31596032804815;9,15127457052325e-09;4,69307864225e-06;9,9311622981486
"YALI1_E12919g";"YALI1_E12919g";-3,96676979900642;3,87129779575536;-7,22828327366012;1,20052632239795e-08;5,27717070574071e-06;9,76230029651325
"YALI1_A01394g";"YALI1_A01394g";-1,03396813868549;7,35295454688469;-6,45655131359842;1,34065610944264e-07;5,15649856094375e-05;7,27061864237282
"YALI1_F23616g";"YALI1_F23616g";2,49485257603212;4,97112350519939;5,25598970048498;5,93108873396127e-06;0,00202777333715542;3,82776142599101
"YALI1_C13817g";"YALI1_C13817g";-1,4927898045188;3,90916238078842;-5,08375202173246;1,01835328091952e-05;0,00313347304538935;3,39039801090637
"YALI1_D17336g";"YALI1_D17336g";-2,39980490361884;2,92886758485063;-4,83239237080947;2,23156890019623e-05;0,00612368325104049;2,55192840451552
"YALI1_D17564g";"YALI1_D17564g";-0,597171288500599;8,98237246414348;-4,80064150624019;2,46292811432298e-05;0,00612368325104049;1,78099684945996
"YALI1_C08298g";"YALI1_C08298g";0,496354911171659;9,25979828482006;4,78478485725745;2,58719149377726e-05;0,00612368325104049;1,87138437460717
"YALI1_E08689g";"YALI1_E08689g";1,48567493248636;3,74817798828197;4,62592653976329;4,22916063538656e-05;0,0092950909107746;2,07867452371883
"YALI1_A07161g";"YALI1_A07161g";-1,71535837139944;2,32686221390107;-4,53746529759747;5,55219640359516e-05;0,0113894055559082;1,80025148512414
