"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_C01505g";"YALI1_C01505g";4,52286094808095;7,63918065955323;39,3357066037662;1,97577751651875e-32;6,07946741832819e-29;62,2741551761261
"YALI1_A01298g";"YALI1_A01298g";3,11764901701483;7,15380779674065;11,9169892038226;2,05937739014842e-14;3,16835211474334e-11;22,0282970725446
"YALI1_F23616g";"YALI1_F23616g";4,53891277282358;4,97112350519939;9,64670549849681;9,05533485356719e-12;9,28775511480875e-09;15,3926131330929
"YALI1_B08247g";"YALI1_B08247g";1,43207877940852;10,2690658710361;8,9939534248187;5,89325898964264e-11;4,5333894777826e-08;14,7856614443256
"YALI1_D06094g";"YALI1_D06094g";0,859309148120031;14,1028295623758;8,90058817181231;7,73755353816387e-11;4,76169044738604e-08;13,9614765247095
"YALI1_E27625g";"YALI1_E27625g";-1,0805008467221;6,14716279889939;-8,71492668665584;1,33389597717865e-10;6,84066320296452e-08;14,0683620228292
"YALI1_F18696g";"YALI1_F18696g";1,17760631637429;12,3818388647092;8,59385535029156;1,90690833381767e-10;8,38222420450997e-08;13,366512488962
"YALI1_C01520g";"YALI1_C01520g";5,56334743157364;2,37197460320715;8,07228614402157;9,06594486674332e-10;3,48698904437115e-07;8,98504260399264
"YALI1_F15053g";"YALI1_F15053g";-0,571032690332212;8,97950221934484;-7,4383484594088;6,27187847360644e-09;2,14428556258745e-06;9,99307685869592
"YALI1_E27406g";"YALI1_E27406g";-1,11996221907515;7,71181019598258;-7,28215534541929;1,0160205384695e-08;3,12629519687065e-06;9,70429176054801
"YALI1_D22906g";"YALI1_D22906g";-1,64226852227724;6,444333561068;-6,84628690638728;3,94478919641083e-08;1,10346512339601e-05;8,60337594632038
"YALI1_A16918g";"YALI1_A16918g";-1,53232924119123;7,99376280484015;-6,61093249912443;8,24980444405256e-08;2,11538735619581e-05;7,71412378233361
"YALI1_F21676g";"YALI1_F21676g";-2,24205112572136;4,53568835047028;-6,45279800449498;1,35659434646732e-07;3,21095446467689e-05;7,356544491596
