Pair	Num Increases	Avg Increase	Median Increase	Num Decreases	Avg Decrease	Median Decrease	Num Rev Changes	Total Sig Changes
ecOKYL029_vs_ecST6512	31	2.2309	1.1311	185	0.8347	0.8824	0	216
ecJFYL07_vs_ecOKYL029	92	6.9772	1.1186	129	0.7603	0.7609	0	224
ecJFYL14_vs_ecJFYL07	183	27.3331	1.3783	27	0.6556	0.7020	0	210
ecJFYL18_vs_ecJFYL07	187	10.1586	1.2091	24	0.7487	0.8418	0	212
