"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_C25513g";"YALI1_C25513g";-1,41086543348761;2,53394098604448;-2,32704265990256;0,0253834141472471;0,32915564850633;-3,54337947367766
"YALI1_B03324g";"YALI1_B03324g";0,44503412017101;6,99252804385212;2,32655052794771;0,0254124617896899;0,32915564850633;-3,47611811277693
"YALI1_D32181g";"YALI1_D32181g";0,310380794925115;9,46115488532108;2,32409620401114;0,0255577728995296;0,32915564850633;-3,91173463750268
"YALI1_B00675g";"YALI1_B00675g";0,873504500469241;2,69119772620846;2,32394876686693;0,0255665258345833;0,32915564850633;-3,36814644311579
"YALI1_A22236g";"YALI1_A22236g";-0,687014341714508;5,21319943360981;-2,32192315867563;0,0256870538234316;0,329329435894579;-3,40308320754655
"YALI1_D04512g";"YALI1_D04512g";-0,309495606760908;7,94966266180476;-2,31591645915131;0,0260474746265709;0,330710852062627;-3,88317241437448
"YALI1_E19871g";"YALI1_E19871g";-1,0813832606182;3,6096594596569;-2,31274919074105;0,0262393449945669;0,330710852062627;-3,41942154916305
"YALI1_C25452g";"YALI1_C25452g";-0,913051865553792;1,40016599601417;-2,31245293143482;0,0262573569088628;0,330710852062627;-3,39980853064027
"YALI1_E25163g";"YALI1_E25163g";-0,966637813648368;1,29394160687067;-2,31213378829733;0,0262767725370498;0,330710852062627;-3,40972294378529
"YALI1_C29402g";"YALI1_C29402g";0,698728593161028;4,98807754401721;2,3112239771947;0,0263321932906544;0,330710852062627;-3,37884891683688
"YALI1_A11010g";"YALI1_A11010g";-0,546670076623489;5,70665802312755;-2,30834259220738;0,0265084051127225;0,331570579397752;-3,49232890632136
"YALI1_E19415g";"YALI1_E19415g";1,73589057489821;2,80985443861569;2,30111976840233;0,0269547817267215;0,335788920538956;-3,68755462175576
"YALI1_D17543g";"YALI1_D17543g";-0,197830376555839;9,27821933555165;-2,29635633485571;0,0272528457356125;0,336247091230675;-4,05920475629808
"YALI1_B14355g";"YALI1_B14355g";1,03452274454994;3,07715107769538;2,29494766536848;0,0273415556381337;0,336247091230675;-3,45669610753344
"YALI1_D22053g";"YALI1_D22053g";0,698563113457957;5,87367969573546;2,2919802027144;0,0275292773295807;0,336247091230675;-3,41863803417258
"YALI1_B15996g";"YALI1_B15996g";1,0139726421692;2,48523313678289;2,29188019538292;0,0275356238769439;0,336247091230675;-3,50887370461909
"YALI1_A10934g";"YALI1_A10934g";-0,767293545587973;2,81367064395951;-2,29171668067177;0,0275460034810199;0,336247091230675;-3,40888348649461
"YALI1_C18457g";"YALI1_C18457g";-1,8035020466504;2,1840157983989;-2,28999989907595;0,027655193495546;0,336247091230675;-3,72897307348993
"YALI1_D17930g";"YALI1_D17930g";0,666912154878532;4,20322177051517;2,28841244085085;0,0277565034685055;0,336247091230675;-3,42081601586654
"YALI1_C25288g";"YALI1_C25288g";1,12023566653685;2,81844751415492;2,28376892435982;0,0280547604946451;0,337025070530928;-3,47384138032313
"YALI1_F14850g";"YALI1_F14850g";-0,61540278736774;5,11897243988208;-2,28259068196598;0,0281308953613387;0,337025070530928;-3,45547680985864
