"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_C01505g";"YALI1_C01505g";4,42064609658614;7,63918065955323;38,3138872875946;5,2513408800172e-32;1,61583758878129e-28;62,0965964767008
"YALI1_A01298g";"YALI1_A01298g";2,40021946682972;7,15380779674065;9,64190035059865;9,17923557573516e-12;1,41222539332685e-08;16,6961199879294
"YALI1_C01520g";"YALI1_C01520g";6,63329153703138;2,37197460320715;8,47782076117669;2,69022682928744e-10;2,75927598457248e-07;10,0857684214476
"YALI1_D12513g";"YALI1_D12513g";-0,569533662678458;14,845818846223;-8,13254309302111;7,5597977429871e-10;5,81537441379283e-07;11,2477654351412
"YALI1_C06753g";"YALI1_C06753g";-0,938565800113279;10,3542457257469;-7,3685649604732;7,77831624240438e-09;4,78677581557565e-06;9,5903588276175
"YALI1_F23616g";"YALI1_F23616g";4,17268968836087;4,97112350519939;7,12829591472881;1,63736964244518e-08;8,39697731633969e-06;8,92288545775554
"YALI1_A08115g";"YALI1_A08115g";-1,1259629778042;6,51435159844574;-6,12090249338127;3,86509097055417e-07;0,000169898355948502;6,29119372385473
"YALI1_E31154g";"YALI1_E31154g";-2,7249947601122;5,39185027076161;-5,66775173934812;1,61892708094711e-06;0,000622679828509281;5,08921029061755
"YALI1_B11120g";"YALI1_B11120g";-0,356772951450129;10,4745626296368;-5,34511610339147;4,48061173674173e-06;0,00128500466433616;3,23814173494755
"YALI1_E08689g";"YALI1_E08689g";3,56181385790473;3,74817798828197;5,33801454432868;4,58193352616663e-06;0,00128500466433616;3,33305496249132
"YALI1_C10133g";"YALI1_C10133g";-0,476921997628473;10,8908075386751;-5,33719467650225;4,59377683058101e-06;0,00128500466433616;3,20529861409584
"YALI1_F16232g";"YALI1_F16232g";-0,525635054197688;9,86156786475932;-5,1746726878278;7,6574077835146e-06;0,0019634869791562;2,81386378722706
"YALI1_B00711g";"YALI1_B00711g";-0,782868455930064;6,89049698399306;-5,06732238667869;1,0721201039342e-05;0,00253762581523502;2,99632988994206
"YALI1_E02481g";"YALI1_E02481g";0,785874637397407;8,91620482454867;5,00870560457023;1,28791131070856e-05;0,00283064507360732;2,54696449242885
"YALI1_A15846g";"YALI1_A15846g";-1,34498508184783;5,36024287217823;-4,9276997816197;1,65855846027846e-05;0,00330947283000755;2,9267373870259
"YALI1_B06134g";"YALI1_B06134g";-1,28734101901363;5,60917249739089;-4,91586866925576;1,72088284953269e-05;0,00330947283000755;2,81719628936986
"YALI1_E23659g";"YALI1_E23659g";-0,540411899082923;13,4886735028684;-4,84040982187962;2,17663041059918e-05;0,00393970104318452;1,28069773511441
"YALI1_B09994g";"YALI1_B09994g";0,398117418660631;10,902656598855;4,71800584312472;3,18210096096278e-05;0,00543962480937915;1,27688246427491
"YALI1_D28259g";"YALI1_D28259g";-0,666250676890074;8,92435620763601;-4,55216675619824;5,30705226787396e-05;0,00843832612919834;1,02813661241039
"YALI1_F10184g";"YALI1_F10184g";-1,15443362946639;5,32578129337296;-4,54144391162694;5,4847748646073e-05;0,00843832612919834;1,57770453068209
