"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_C01505g";"YALI1_C01505g";4,56807794487822;7,63918065955323;38,3598953514421;5,02255826521008e-32;1,54544117820514e-28;61,3360879005793
"YALI1_A01298g";"YALI1_A01298g";3,24264459921391;7,15380779674065;13,1556968960927;9,79523632077432e-16;1,50699710795113e-12;24,9452757894226
"YALI1_F15053g";"YALI1_F15053g";-0,874006754577181;8,97950221934484;-11,0897960871747;1,7510276471091e-13;1,79597069005157e-10;20,5275770486834
"YALI1_E27625g";"YALI1_E27625g";-1,05792986337495;6,14716279889939;-8,44350975369539;2,97930212731913e-10;2,29182816144024e-07;13,2707627151633
"YALI1_F23616g";"YALI1_F23616g";4,17759132466037;4,97112350519939;8,1949929085842;6,26496409943964e-10;3,85545890679515e-07;11,6216918890072
"YALI1_C01520g";"YALI1_C01520g";5,32154858779978;2,37197460320715;7,85024607515256;1,77672074720956e-09;9,11161623193968e-07;8,69964776861388
"YALI1_C29576g";"YALI1_C29576g";2,12638463464578;4,88937300575571;6,80667874150326;4,46526716224791e-08;1,7494301896257e-05;8,52597260941041
"YALI1_E27406g";"YALI1_E27406g";-1,0955000492727;7,71181019598258;-6,80078575628056;4,54840478290724e-08;1,7494301896257e-05;8,24064304012335
"YALI1_E22503g";"YALI1_E22503g";-1,695784040095;9,96314052030413;-6,36229190639453;1,80422545857883e-07;6,16844637338563e-05;6,63171250794987
"YALI1_D04512g";"YALI1_D04512g";-1,12399060382774;7,94966266180476;-6,15545370212487;3,46545618202217e-07;0,000106632086720822;6,42447868424544
"YALI1_A16918g";"YALI1_A16918g";-1,48777319614869;7,99376280484015;-6,11441676999949;3,94510320009257e-07;0,000110355295878953;6,19523117519511
"YALI1_D00406g";"YALI1_D00406g";0,995453987505335;5,89113554600095;6,01938370691934;5,32699527453702e-07;0,000136593037164587;5,85067895159391
"YALI1_D28259g";"YALI1_D28259g";-0,86146302099568;8,92435620763601;-5,95250576330119;6,58105180543576e-07;0,000155768433887122;5,49375367500179
"YALI1_C13510g";"YALI1_C13510g";-0,905286073368118;6,65234952243962;-5,92864229334851;7,09675338711544e-07;0,000155976501229673;5,74698273999914
"YALI1_D00848g";"YALI1_D00848g";1,63932210955666;5,1962821186766;5,90513174430784;7,64435168801783e-07;0,000156811134293539;5,8229382618746
"YALI1_B08247g";"YALI1_B08247g";0,851821844555296;10,2690658710361;5,87602814052289;8,38111724233823e-07;0,000161179360966717;5,16518264092652
"YALI1_C29506g";"YALI1_C29506g";0,922266657816747;6,91466668039536;5,43458103300265;3,37990850381504e-06;0,000591140360641796;3,94635429911509
"YALI1_E22126g";"YALI1_E22126g";-1,17706027837471;5,31222445374192;-5,42732853878796;3,45808465763806e-06;0,000591140360641796;4,36958076321397
"YALI1_B00607g";"YALI1_B00607g";-0,727616864600199;8,8951235413564;-5,3947264208677;3,83234934606469e-06;0,000620638891465318;3,83867177547679
"YALI1_E08689g";"YALI1_E08689g";3,69270061125497;3,74817798828197;5,29252646929758;5,2872198596706e-06;0,000813438775410322;2,62951192935494
"YALI1_A16944g";"YALI1_A16944g";-2,07698291744315;4,2063520964167;-5,26069383586403;5,84400706472984e-06;0,000856286178008273;3,89570338268466
"YALI1_E21552g";"YALI1_E21552g";-2,25575988926805;8,26824262117162;-5,21376689925076;6,77275362014838e-06;0,000947261949508935;3,29850192208155
"YALI1_E05353g";"YALI1_E05353g";-0,346105284210362;13,376369381423;-5,12968599939315;8,81816233627548e-06;0,00117971676124868;2,32596600206014
"YALI1_F13170g";"YALI1_F13170g";-2,85682421428451;6,54587911176862;-5,07322209562543;1,0524965292733e-05;0,00134938825857248;3,30839955662262
"YALI1_E21535g";"YALI1_E21535g";-1,93863788294501;5,89897983560529;-5,02851085247022;1,21057225978226e-05;0,00148997233734001;3,1462916909756
"YALI1_E21555g";"YALI1_E21555g";-2,44709342920529;6,93819369513163;-5,00096289435598;1,31946053797884e-05;0,00156153079821572;2,93687047262357
"YALI1_F05575g";"YALI1_F05575g";-0,556973802302389;9,52599663096068;-4,95641529293317;1,51643073053386e-05;0,0017281693917973;2,36658822300705
"YALI1_F18696g";"YALI1_F18696g";0,607281905350483;12,3818388647092;4,85145679308604;2,10311730496245e-05;0,00231117569548909;1,67468441990749
"YALI1_D08621g";"YALI1_D08621g";-3,28040100209876;4,40506075893696;-4,74407819818427;2,93526978338012e-05;0,00311442245636574;2,23632181460956
