ID	NGISampleID	Strain	NitrogenSource	CN_Ratio	DR	group	Overexpression	Deletion
1	101	OKYL029	Urea	116	0.1	OKYL029_U_116_0.1	0	0
2	102	OKYL029	Urea	116	0.1	OKYL029_U_116_0.1	0	0
4	103	OKYL029	Urea	116	0.1	OKYL029_U_116_0.1	0	0
5	104	OKYL049	Urea	116	0.1	OKYL049_U_116_0.1	1	0
8	106	OKYL049	Urea	116	0.1	OKYL049_U_116_0.1	1	0
17	107	OKYL029	Ammonium Sulphate	3	0.1	OKYL029_AS_3_0.1	0	0
19	108	OKYL029	Ammonium Sulphate	3	0.1	OKYL029_AS_3_0.1	0	0
20	109	OKYL029	Ammonium Sulphate	3	0.1	OKYL029_AS_3_0.1	0	0
21	110	OKYL049	Ammonium Sulphate	3	0.1	OKYL049_AS_3_0.1	1	0
22	111	OKYL049	Ammonium Sulphate	3	0.1	OKYL049_AS_3_0.1	1	0
23	112	OKYL049	Ammonium Sulphate	3	0.1	OKYL049_AS_3_0.1	1	0
25	113	JFYL007	Ammonium Sulphate	3	0.1	JFYL007_AS_3_0.1	0	1
27	114	JFYL007	Ammonium Sulphate	3	0.1	JFYL007_AS_3_0.1	0	1
28	115	JFYL007	Ammonium Sulphate	3	0.1	JFYL007_AS_3_0.1	0	1
30	116	OKYL049	Urea	3	0.1	OKYL049_U_3_0.1	1	0
31	117	OKYL049	Urea	3	0.1	OKYL049_U_3_0.1	1	0
32	118	OKYL049	Urea	3	0.1	OKYL049_U_3_0.1	1	0
33	119	OKYL029	Urea	3	0.1	OKYL029_U_3_0.1	0	0
35	120	OKYL029	Urea	3	0.1	OKYL029_U_3_0.1	0	0
36	121	OKYL029	Urea	3	0.1	OKYL029_U_3_0.1	0	0
37	122	JFYL007	Urea	3	0.1	JFYL007_U_3_0.1	0	1
38	123	JFYL007	Urea	3	0.1	JFYL007_U_3_0.1	0	1
40	124	JFYL007	Urea	3	0.1	JFYL007_U_3_0.1	0	1
41	125	JFYL007	Urea	116	0.1	JFYL007_U_116_0.1	0	1
43	126	JFYL007	Urea	116	0.1	JFYL007_U_116_0.1	0	1
44	127	JFYL007	Urea	116	0.1	JFYL007_U_116_0.1	0	1
60	142	JFYL007	Ammonium Sulphate	116	0.1	JFYL007_AS_116_0.1	0	1
69	201	OKYL049	Ammonium Sulphate	116	0.1	OKYL049_AS_116_0.1	1	0
70	202	OKYL049	Ammonium Sulphate	116	0.1	OKYL049_AS_116_0.1	1	0
72	204	OKYL049	Ammonium Sulphate	116	0.1	OKYL049_AS_116_0.1	1	0
75	205	JFYL007	Ammonium Sulphate	116	0.1	JFYL007_AS_116_0.1	0	1
76	206	JFYL007	Ammonium Sulphate	116	0.1	JFYL007_AS_116_0.1	0	1
77	207	JFYL007	Ammonium Sulphate	116	0.06	JFYL007_AS_116_0.06	0	1
78	208	JFYL007	Ammonium Sulphate	116	0.06	JFYL007_AS_116_0.06	0	1
79	209	JFYL007	Ammonium Sulphate	116	0.06	JFYL007_AS_116_0.06	0	1
81	210	OKYL049	Ammonium Sulphate	116	0.06	OKYL049_AS_116_0.06	1	0
82	211	OKYL049	Ammonium Sulphate	116	0.06	OKYL049_AS_116_0.06	1	0
84	213	OKYL049	Ammonium Sulphate	116	0.06	OKYL049_AS_116_0.06	1	0
85	214	OKYL029	Ammonium Sulphate	116	0.1	OKYL029_AS_116_0.1	0	0
86	215	OKYL029	Ammonium Sulphate	116	0.1	OKYL029_AS_116_0.1	0	0
88	217	OKYL029	Ammonium Sulphate	116	0.1	OKYL029_AS_116_0.1	0	0
89	218	OKYL029	Ammonium Sulphate	116	0.06	OKYL029_AS_116_0.06	0	0
91	220	OKYL029	Ammonium Sulphate	116	0.06	OKYL029_AS_116_0.06	0	0
92	221	OKYL029	Ammonium Sulphate	116	0.06	OKYL029_AS_116_0.06	0	0
6	222	OKYL049	Urea	116	0.1	OKYL049_U_116_0.1	1	0
